prompt,completion
do you think it is well I hope that through our work together you'll be able to decide that for yourself hmm and my hope in our process is that that we could be partners and thinking about that together and what what work might look like for you in your life and how it might fit in for you how does that sound,Questions on Emotions
it it seems like I've used to this question which we called a miracle question,Questions on Emotions
I love that analogy good thinking good thinking Bruce that's excellent Wow well just to summarize today you came then you had made some progress that you had some stumbling blocks um you have decided that whether it's rain or shine you're going to run anyway because you're going to have you raincoat and you're going to embrace more of your positive friends rather than the friends that are not such a good influence on you and getting a pet rather than getting a dog you're going to look into getting a snake or what was the other thing ovation okay and in terms of a support group I will send you a list of support groups and you feel that on a scale of one to ten that you're about an eight and actually caring through and drying up two of these support groups because of the hockey team analogy great job so overall how would you rate today's session,Questions on Emotions
okay so we've talked about where you are in terms of wanting change we talked about where you act as far as feeling confident in change we also discussed a little bit about the reasons why you want to change the three reasons you mentioned your mom you mentioned for yourself you mentioned your health in the session we also discussed some avenues that you may take in terms of getting that support that you want we talked about your belief system a little bit we talked about church we talked about referrals in places that you may be interested in so you talked about a lot and I want to hear from you how is this going for you how how was the session been going for you in the past the last session that we had before,Questions on Emotions
"Hello, how are you feeling today? What brings you to therapy?",Questions on Emotions
"Hello, thank you for coming in for your session today. How are you feeling?",Questions on Emotions
"Understandable, those were different circumstances and challenges. But it does show that you have the strength and resilience within you to overcome difficult situations. What are some specific concerns or fears you have about quitting right now?",Questions on Emotions
Music can be a really great outlet for people. Can you tell me more about what drew you to music in the first place and what it means to you now?,Questions on Emotions
"Try to stay with it for a moment. What is it like to sit in the feeling? What comes up for you? When you say you feel relieved, what is it like for you? Where do you feel it?",Questions on Emotions
"This self understanding you're expressing, how does it feel for you?",Questions on Emotions
What do you think it is like for me to read that?,Questions on Emotions
What's getting in the way of your being able to take in what I said?,Questions on Emotions
do you think it is well I hope that through our work together you'll be able to decide that for yourself hmm and my hope in our process is that that we could be partners and thinking about that together and what what work might look like for you in your life and how it might fit in for you how does that sound,Psychoeducation
it it seems like I've used to this question which we called a miracle question,Psychoeducation
no it's actually fairly common but I appreciate you sharing this with I know it's difficult say I'm going to continue on some some other questions appreciate your patience all these these questions and you've been forthcoming with your answers I want to ask you some questions about a possible mood disturbances because this event do you ever find yourself unable to remember having trouble would remember important aspects of the trauma how about negative beliefs or expectations about yourself or others maybe kind of changing your attitude and the way you're relating to the world or yourself if you find yourself having distorted thinking that we kind of blame kind of blame yourself even though you clearly weren't responsible for it,Psychoeducation
so I don't know how much you know already about sort of my role here and why you're even here so I thought I'd start by telling you a little bit about myself basically my job is to meet with all of the students I meet with everybody about once or twice a semester and just talk with you a little bit about how things are going different behaviors that you might be engaging in and thinking about any changes you might want to make for your life if you decide that you do it's not my job to change you I couldn't even if I wanted to that's not my role at all it's really to help you think about you know how things are going for you and how you might like making changes or moving forward that sound okay all right so why don't we start by you telling me a little bit about yourself,Psychoeducation
we've no Rini to follow guidelines and recommendations on how they've had just had recently updated guidelines we use things like nice guidelines and stuff and you're describing anxiety symptoms that seem to be related to specific issues and we don't think tablets are the best thing anymore we're there's much more recommendation to big you know talking with professionals having what we call CBT cognitive behavioral therapy working through these issues is probably a better long-term option and is what is firstly recommended and second recommendation we try and avoid especially those types of drugs you're talking about valium because we know they just make addicted to them,Psychoeducation
okay and that's exactly one of the symptoms of nicotine withdrawal that I'm looking to stop happen to you so I would strongly recommend that you have the patch talk about how to use it and that we have another product that I leave you to use as when any of those feelings of irritation coming out that typically in that first week so you're happy with the date for me okay would you like to come back and see me again other and what would you like me to do if you don't come back,Psychoeducation
okay those are actually symptoms of hyperglycemia or high blood sugar let's caused by a deficiency of insulin in the body do you know what ketoacidosis is okay when there is no insulin in the body the cells cannot get the energy they need to function to compensate that your body begins breaking down fat body this is what is referred to as ketoacidosis and this can be very life-threatening by leading to coma Oren's of your cases even death so those experiencing I'd usually have stomach pain nausea sometimes I have breath that's most fruity or like they say it smells like acetone or they have very labored reading what they call Kussmaul respirations and this is why taking your insulin injections it's very important so without it your body can't function,Psychoeducation
yeah so exercising did different group of friends that maybe isn't it revolved around smoking with that there's also group therapy that I know you do for your depression which is also awesome to help people stop smoking and we can give you some pamphlets and give you a number that we can set you up with have you ever considered nicotine patches,Psychoeducation
okay awesome so when it comes to carbohydrate crowning we always want to make sure that we're aware of the carpod so if you know what a carbohydrate is,Psychoeducation
I think I think your life you know pain does not necessarily mean that there's a physical problem it sometimes just means that the brain is perceiving a threat and that something needs to change there are many other things I played two white pain comes about for example how much stress you're under your productivity level much sleep you're getting your emotional health they all play a big role as well you know if one aspect of your lifestyle is not deemed healthy then it can certainly make you more sensitive to experiencing pain I think you touched on an important point earlier when you said that you didn't feel physically ready to jump back into playing pickup basketball with your friends after sitting for long periods of time throughout the day does this make sense to you,Psychoeducation
"I understand how that can be confusing, John. It's important to note that ibuprofen is a nonsteroidal anti-inflammatory drug that can have negative effects on your kidneys, particularly when used for an extended period of time. Taking it sparingly may be okay, but I do want to suggest having a conversation with your doctor about other pain management options that might be better for you in the long run. It's always best to err on the side of caution when it comes to your health.",Psychoeducation
"Yes, that's correct. Soft drinks and other sugary or acidic drinks can contribute to tooth decay by producing harmful acids that erode the enamel on your teeth. It's important to limit your consumption of these types of drinks and if you do have them, it's best to have them with a meal instead of in between meals. Additionally, brushing your teeth twice a day and flossing once a day can also help prevent tooth decay. Would you be willing to try cutting back on your soft drink consumption and incorporating these habits into your daily routine?",Psychoeducation
Can you tell me more about what specifically is causing you to feel angry towards your supervisor? Is there something they said or did that upset you? It can be helpful for us to explore the root of these emotions.,Psychoeducation
I love that analogy good thinking good thinking Bruce that's excellent Wow well just to summarize today you came then you had made some progress that you had some stumbling blocks um you have decided that whether it's rain or shine you're going to run anyway because you're going to have you raincoat and you're going to embrace more of your positive friends rather than the friends that are not such a good influence on you and getting a pet rather than getting a dog you're going to look into getting a snake or what was the other thing ovation okay and in terms of a support group I will send you a list of support groups and you feel that on a scale of one to ten that you're about an eight and actually caring through and drying up two of these support groups because of the hockey team analogy great job so overall how would you rate today's session,Reflections on Strengths
it is a different type of difficulty you're right and I don't want to make light of that but what I'm the point I'm trying to make with you is that it was difficult and you rose to the challenge and you got through it,Reflections on Strengths
well that's a pretty tough decision and um well I really think that you have the personal capabilities to come to that decision on your own I can tell from talking to you that you're a point in your life where you can make big decisions like that on your own,Reflections on Strengths
"""yeah exactly and you know what maintaining your health and maintaining his health is just going to better the both of you anyway so it's always nice to have someone to help support you and what you're doing and going on the walks",Reflections on Strengths
nothing bad okay okay what Mina in my opinion I believe you're you're exactly right no as you well know I mean the the the journey to quitting smoking is very difficult but if you think about it you yourself you were able to quit for almost a year now you were able to quit for nine months so just as you were able to quit during your pregnancy for the sake of the kids you know you can use that same sort of energy to want to have the desire to quit for the sake of your own health in order to see your kids grow up to be you know healthy individuals also okay and that's and that's really something to think about so I guess my next question for you miss Fisher would be more like a scenario question so if you can kind of roll with me on that on the scale of one to ten how important is it for you to consider thinking about quitting smoking sooner rather than later with one being not important at all or ten being the utmost and most important,Reflections on Strengths
yeah well in like you said you know you've quit many times before and for multiple days and that is a real success and I know that because you ended up going back to smoking that it doesn't feel like a real success but certainly being able to stop for hours or days at a time is really an accomplishment and I hope you can feel that,Reflections on Strengths
so family and responsibilities are tied together for you and responsibility is something that you haven't always been as you would like and yet you've grown in your ability to be responsible possibly partly because of your family,Reflections on Strengths
"Understandable, those were different circumstances and challenges. But it does show that you have the strength and resilience within you to overcome difficult situations. What are some specific concerns or fears you have about quitting right now?",Reflections on Strengths
So maybe quitting can be just as difficult but you have the strength and resilience to face it just like you did with your divorce. Let's work together to develop a plan to help you feel more confident and ready to quit when you're ready. What do you think?,Reflections on Strengths
Sounds like you have a good balance of structured activities and downtime. How have you been feeling lately? Any stress or challenges you currently have on your mind?,Reflections on Strengths
"That's great, it sounds like you're doing well academically. Are there any specific subjects or classes that you're particularly enjoying or struggling with?",Reflections on Strengths
"That's really exciting. It's great to have big goals like that to work towards. It sounds like you're dedicated and hardworking, which will definitely help you achieve those goals. Are there any challenges or concerns that you have right now that you'd like to talk about?",Reflections on Strengths
"That's really insightful, Andrea. It sounds like having a sense of community and feeling like you belong is really important to you, which makes sense given your involvement in various musical ensembles and your desire to become a psychiatrist. It's also great that you prioritize respect, both for yourself and for others. Would you say that these values are currently being met in your life, or is there room for improvement in these areas?",Reflections on Strengths
That sounds like a great plan. It's always helpful when you have a support system that shares similar values and goals. Have you talked to your friends about this at all or do you think they would be open to having this conversation with you?,Reflections on Strengths
"That's a very positive attitude to have. It sounds like you're ready to make some changes and take control of your drinking habits. It can be challenging to make changes, but it sounds like you have a good support system in your friends who share similar goals. Would you like to discuss some strategies that can help you achieve your goal of cutting back on your drinking?",Reflections on Strengths
mmm so you told her many many times yes attention was missing well she didn't work mmm sipping yeah so it sounds like you you feel like she's not listening to you she's always on her fault she could have no face bone why should people calling people up up mhm she have to go to schoo,Reflections on Conflicts
so she's afraid that if you take the children with you that you'll be drinking and then you might hurt them or,Reflections on Conflicts
so your your friends that you were hanging out with there's a little tension there now,Reflections on Conflicts
all right so with this recent arrest you realize it may be about you to stop using but really don't want to,Reflections on Conflicts
and it sounds like you're smoking setting an example those are some things that that you're also a bit concerned about but as you said earlier not not really ready to put down your cigarettes immediately,Reflections on Conflicts
okay I hear you so on one hand you feel confident that you're able to manage this home course load and the stress level and on the other hand you're unsure because you don't have the same social support it's like you did back home,Reflections on Conflicts
so you have some internal voices that's disputing probably maybe wait okay with you whether you should or shouldn't exercise and diet look after your health,Reflections on Conflicts
so it seems like you're kind of conflicted about what's going on you know I'm hear you say that you got sick and it wasn't really big deal but it seems like your parents may have been your opinion overreacted,Reflections on Conflicts
"So in a way it doesn't, it didn't even really make sense to you or to him, because on the one hand he's really good, good with you, and good with the father, I mean good with your child, and on the other hand it was like what is this? Something really different",Reflections on Conflicts
well so Linda what I'm hearing you say is that it's actually very important for you to exercise but on the other hand you are not that confidence to actually start a success is that true,Reflections on Conflicts
yeah totally okay so if I'm hearing this correctly you seem really frustrated because your dad is always making you do things like chores and making you you go with him to places that you don't really want to go to is that right,Reflections on Conflicts
oh I see well you know obviously you want to make sure you're not eating you know junk food all day long but on the other hand you want to make sure that you give yourself some opportunities to have that bite of brownie or cake or you know I for myself personally I really love like lemon meringue pie so I always have to you know save that little piece for myself in the fridge to make sure i have my little bite of lemon meringue pie and then i can feel good about you know where I where I was eating good the rest of the day then I could still have my lemon meringue pie so something like that might kind of work better you know for you to really take a look at your portion sizes and then you know making sure you get out there and exercising me if you're not exercising it certainly not going to help you with being able to get off the weight either so that's that's critical how are you doing on weight loss as far as exercising?,Reflections on Conflicts
You're stuck between the demands of being a mother and of being a woman.,Reflections on Conflicts
"Your family comes first, but doing well at work takes time away from them.",Reflections on Conflicts
so you're kind of stuck being exposed to things you don't mean busy,Reflections on Consequences
yeah so your financial stress may be increased by the fact that you're drinking,Reflections on Consequences
this scholarship will really help you achieving your goals,Reflections on Consequences
ok behavior like this could get you suspended doesn't that concern you,Reflections on Consequences
and you're in you know that if you lost some weight that then you'd have less pressure on those knees in you can be you,Reflections on Consequences
so she's afraid that if you take the children with you that you'll be drinking and then you might hurt them or,Reflections on Consequences
"""yeah exactly and you know what maintaining your health and maintaining his health is just going to better the both of you anyway so it's always nice to have someone to help support you and what you're doing and going on the walks",Reflections on Consequences
yeah you don't look terribly overweight but according to the the charts there it's in the overweight category so you're actually getting you into the normal category would be about a loss of about  to  pounds,Reflections on Consequences
"Okay, I understand that the pain can be difficult and discouraging. In order to make the injections easier and less painful, have you spoken with your doctor about using a smaller needle or using a numbing cream before injecting? It could help make the process less painful for you in the long run.",Reflections on Consequences
